Date,Close_Last,Volume,Open,High,Low
7/17/20,492.99,24991350.00,494.87,503.59,484.14
7/16/20,527.39,24498990.00,526.48,535.54,504.36
7/15/20,523.26,10066650.00,516.30,529.00,510.18
7/14/20,524.88,15083300.00,517.08,525.50,490.49
7/13/20,525.50,18399020.00,567.98,575.37,520.96
7/10/20,548.73,21605590.00,519.73,555.88,511.28
7/9/20,507.76,5840541.00,508.40,510.00,495.78
7/8/20,502.78,5691682.00,498.58,505.10,493.81
7/7/20,493.16,5669870.00,497.31,504.82,490.83
7/6/20,493.81,7838990.00,480.77,499.50,479.80
7/2/20,476.89,6351485.00,485.64,492.28,475.53
7/1/20,485.64,9705870.00,454.00,488.23,454.00
6/30/20,455.04,4198545.00,450.02,457.59,447.00
6/29/20,447.24,4843978.00,445.23,447.67,432.14
6/26/20,443.40,6804726.00,466.39,468.03,442.24
6/25/20,465.91,4134513.00,458.86,467.01,454.00
6/24/20,457.85,4826191.00,468.54,472.36,454.00
6/23/20,466.26,5948436.00,466.50,474.01,464.50
6/22/20,468.04,6272105.00,455.01,468.59,454.21
6/19/20,453.72,5933651.00,449.12,453.97,445.60
6/18/20,449.87,4277627.00,448.73,452.76,442.80
6/17/20,447.77,6529568.00,441.82,450.46,439.22
6/16/20,436.13,5514016.00,425.76,437.96,425.18
6/15/20,425.50,4471499.00,421.40,426.49,415.42
6/12/20,418.07,6461127.00,429.00,434.06,412.45
6/11/20,425.56,7462868.00,428.20,445.57,424.16
6/10/20,434.48,4896893.00,436.00,439.69,430.55
6/9/20,434.05,6796999.00,421.65,434.73,420.31
6/8/20,419.49,5851453.00,416.00,420.80,406.50
6/5/20,419.60,5099561.00,407.29,420.24,404.25
6/4/20,414.33,5410529.00,422.39,428.71,410.03
6/3/20,421.97,4316044.00,426.95,427.10,418.05
6/2/20,427.31,3494801.00,425.87,427.59,419.46
6/1/20,425.92,3748573.00,418.83,426.72,415.98
5/29/20,419.73,5270484.00,417.46,420.30,411.85
5/28/20,413.44,5660160.00,417.24,422.37,411.50
5/27/20,419.89,10446340.00,410.38,420.02,397.86
5/26/20,414.77,7881115.00,427.77,428.50,413.14
5/22/20,429.32,5422334.00,437.00,439.09,427.18
5/21/20,436.25,9117325.00,448.56,448.96,430.25
5/20/20,447.67,5607257.00,454.25,455.81,444.00
5/19/20,451.04,4810487.00,453.40,458.97,450.47
5/18/20,452.58,7780309.00,451.16,456.36,443.35
5/15/20,454.19,7243998.00,440.70,455.00,437.51
5/14/20,441.95,9007467.00,444.90,452.38,432.82
5/13/20,438.27,7014563.00,435.69,447.00,427.27
5/12/20,431.82,4598211.00,442.00,444.17,431.36
5/11/20,440.52,5486037.00,436.33,444.89,435.56
5/8/20,435.55,5054308.00,434.14,442.00,433.64
5/7/20,436.53,5650281.00,436.89,438.88,430.66
5/6/20,434.26,6660737.00,429.30,439.77,426.39
5/5/20,424.68,6286293.00,427.56,431.00,421.56
5/4/20,428.15,7799058.00,417.78,428.54,414.87
5/1/20,415.27,8299858.00,415.10,427.97,411.73
4/30/20,419.85,7953975.00,410.31,424.44,408.00
4/29/20,411.89,9693137.00,399.53,415.86,393.60
4/28/20,403.83,10101230.00,419.99,421.00,402.91
4/27/20,421.38,6277480.00,425.00,429.00,420.84
4/24/20,424.99,8670362.00,425.00,427.17,415.88
4/23/20,426.70,13952330.00,419.26,438.41,419.26
4/22/20,421.42,21123770.00,429.73,433.00,413.00
4/21/20,433.83,23177550.00,444.77,447.00,425.60
4/20/20,437.49,12655820.00,435.17,444.49,430.56
4/17/20,422.96,12616260.00,431.00,432.00,414.70
4/16/20,439.17,16128670.00,437.00,449.52,431.61
4/15/20,426.75,13561220.00,413.00,434.98,412.25
4/14/20,413.55,11580980.00,397.50,417.82,394.85
4/13/20,396.72,11692920.00,371.31,400.51,367.70
4/9/20,370.72,7711296.00,371.06,372.10,363.03
4/8/20,371.12,6908879.00,374.01,378.39,368.31
4/7/20,372.28,7046438.00,380.00,381.33,369.34
4/6/20,379.96,8183921.00,365.22,380.29,361.71
4/3/20,361.76,4860768.00,367.47,370.90,357.51
4/2/20,370.08,4592477.00,364.08,370.99,360.06
4/1/20,364.08,6672454.00,376.05,380.23,361.02
3/31/20,375.50,9366464.00,367.93,383.01,366.44
3/30/20,370.96,8621964.00,363.00,377.80,361.17
3/27/20,357.12,7948775.00,359.09,368.56,353.00
3/26/20,362.99,7235016.00,344.00,363.84,341.73
3/25/20,342.39,8767171.00,361.02,362.00,339.17
3/24/20,357.32,11638680.00,369.99,372.93,353.03
3/23/20,360.27,13449380.00,347.89,366.11,340.88
3/20/20,332.83,10853850.00,342.31,350.49,332.00
3/19/20,332.03,10615960.00,324.33,348.51,316.82
3/18/20,315.47,12593650.00,302.40,331.58,300.00
3/17/20,319.75,10013910.00,306.19,322.90,290.25
3/16/20,298.84,10559940.00,306.63,334.35,294.75
3/13/20,336.30,9458197.00,330.51,336.42,307.39
3/12/20,315.25,12071590.00,326.50,335.72,307.32
3/11/20,349.92,6058782.00,358.92,362.98,344.79
3/10/20,364.13,7604444.00,356.43,364.54,347.85
3/9/20,346.49,7405458.00,343.86,357.47,341.72
3/6/20,368.97,8147165.00,367.70,371.31,356.85
3/5/20,372.78,8746985.00,381.00,391.40,368.64
3/4/20,383.79,5487340.00,377.77,384.01,370.51
3/3/20,368.77,8364623.00,381.03,393.52,367.40
3/2/20,381.05,6997891.00,373.11,381.36,364.50
2/28/20,369.03,11178570.00,364.21,376.77,356.80
2/27/20,371.71,10967700.00,371.46,391.56,370.60
2/26/20,379.24,8961126.00,366.31,382.00,365.00
2/25/20,360.09,6481243.00,372.00,375.65,357.72
2/24/20,368.70,6936418.00,364.76,372.82,361.00
2/21/20,380.07,3935618.00,385.33,387.32,377.90
2/20/20,386.00,4079425.00,386.56,389.70,376.68
2/19/20,386.19,4896368.00,388.12,392.95,384.90
2/18/20,387.78,5180400.00,379.30,389.54,379.19
2/14/20,380.40,3736266.00,381.47,385.15,379.43
2/13/20,381.40,4485383.00,376.96,385.37,376.51
2/12/20,380.01,4624772.00,377.18,380.62,375.88
2/11/20,373.69,4772870.00,373.75,378.11,369.72
2/10/20,371.07,5294138.00,365.00,374.80,362.52
2/7/20,366.77,4385227.00,365.04,371.80,363.57
2/6/20,366.95,3920428.00,369.60,371.55,362.51
2/5/20,369.67,6437026.00,375.13,375.25,362.30
2/4/20,369.01,7161451.00,361.00,369.57,356.10
2/3/20,358.00,6674885.00,347.24,359.63,346.28
1/31/20,345.09,5230001.00,347.39,347.39,340.98
1/30/20,347.74,5328136.00,341.10,348.20,339.25
1/29/20,343.16,7649183.00,349.00,349.40,338.55
1/28/20,348.52,6821581.00,345.88,352.40,342.78
1/27/20,342.88,7709482.00,345.95,351.90,341.02
1/24/20,353.16,17939680.00,348.46,359.85,345.88
1/23/20,349.60,18200290.00,326.04,349.88,325.01
1/22/20,326.00,21729960.00,332.55,336.30,323.60
1/21/20,338.11,14350320.00,340.00,341.00,332.59
1/17/20,339.67,6066547.00,341.00,341.57,337.38
1/16/20,338.62,5015997.00,343.50,343.56,335.85
1/15/20,339.07,5158035.00,338.68,343.17,336.60
1/14/20,338.69,7201544.00,344.40,345.38,335.52
1/13/20,338.92,6296174.00,331.80,340.85,331.51
1/10/20,329.05,4720540.00,337.13,338.50,327.27
1/9/20,335.66,4717430.00,342.00,343.42,334.61
1/8/20,339.26,7109117.00,331.49,342.70,331.05
1/7/20,330.75,4742458.00,336.47,336.70,330.30
1/6/20,335.83,5668577.00,323.12,336.36,321.20
1/3/20,325.90,3795466.00,326.78,329.86,325.53
1/2/20,329.81,4348493.00,326.10,329.98,324.78
12/31/19,323.57,3714837.00,322.00,324.92,321.09
12/30/19,323.31,4315267.00,329.08,329.19,322.86
12/27/19,329.09,5037156.00,332.96,333.82,326.01
12/26/19,332.63,3595854.00,334.60,336.46,332.01
12/24/19,333.20,2019322.00,334.01,335.70,331.60
12/23/19,333.10,5767937.00,337.76,337.95,331.02
12/20/19,336.90,9923260.00,335.00,338.00,330.60
12/19/19,332.22,9833355.00,324.50,332.83,324.18
12/18/19,320.80,11210740.00,316.26,325.36,315.60
12/17/19,315.48,10437130.00,307.36,316.80,306.60
12/16/19,304.21,4660166.00,300.85,305.71,298.63
12/13/19,298.50,3883069.00,298.50,301.80,297.25
12/12/19,298.44,4771404.00,295.67,299.17,295.06
12/11/19,298.93,5607155.00,294.49,299.43,294.20
12/10/19,293.12,10481240.00,296.12,298.94,292.02
12/9/19,302.50,5766006.00,307.35,311.49,302.44
12/6/19,307.35,4459684.00,304.70,307.85,302.60
12/5/19,302.86,4618867.00,305.27,306.48,298.81
12/4/19,304.32,3513551.00,308.43,308.43,303.27
12/3/19,306.16,5272447.00,302.22,307.36,301.88
12/2/19,309.99,6223135.00,314.39,314.39,303.75
11/29/19,314.66,2411749.00,315.78,316.62,313.34
11/27/19,315.93,4100975.00,313.93,316.82,312.75
11/26/19,312.49,5328348.00,315.00,316.50,311.69
11/25/19,315.55,7878943.00,308.83,315.73,305.25
11/22/19,310.48,5970056.00,309.10,311.40,304.41
11/21/19,311.69,7488373.00,306.00,312.69,304.26
11/20/19,305.16,5115546.00,301.01,308.25,301.00
11/19/19,302.60,5919710.00,304.01,305.67,298.52
11/18/19,302.57,8621566.00,296.00,304.99,293.28
11/15/19,295.03,6337779.00,290.59,295.82,287.57
11/14/19,289.62,6539771.00,283.25,290.63,283.22
11/13/19,283.11,9233066.00,291.03,293.41,281.14
11/12/19,292.01,5774833.00,295.32,295.35,288.70
11/11/19,294.18,3945885.00,289.16,296.36,288.50
11/8/19,291.57,4509588.00,288.73,293.99,287.51
11/7/19,289.57,5928471.00,290.70,298.19,288.27
11/6/19,288.59,3438257.00,288.19,290.56,285.84
11/5/19,288.03,4062370.00,289.99,291.19,286.31
11/4/19,292.86,5566213.00,288.00,295.39,287.16
11/1/19,286.81,5594293.00,288.70,289.12,283.02
10/31/19,287.41,5090021.00,291.00,291.45,284.78
10/30/19,291.45,9345562.00,284.34,293.49,283.00
10/29/19,281.21,4356181.00,281.87,284.41,277.55
10/28/19,281.86,6248433.00,278.05,285.75,277.35
10/25/19,276.82,4747829.00,270.68,277.77,270.18
10/24/19,271.50,4911033.00,271.81,274.02,268.80
10/23/19,271.27,7154430.00,268.06,273.92,266.63
10/22/19,266.69,11865590.00,271.16,275.41,265.80
10/21/19,278.05,12633960.00,272.89,279.94,269.00
10/18/19,275.30,23449640.00,289.36,290.90,273.36
10/17/19,293.35,38462340.00,304.49,308.75,288.30
10/16/19,286.28,18413340.00,283.12,288.17,280.74
10/15/19,284.25,7728161.00,283.82,285.87,279.40
10/14/19,285.53,5543120.00,283.93,286.93,282.00
10/11/19,282.93,8817301.00,284.80,287.87,275.89
10/10/19,280.48,10961190.00,265.97,280.53,265.03
10/9/19,267.53,6843488.00,270.02,271.00,264.57
10/8/19,270.72,6302269.00,273.03,275.53,270.64
10/7/19,274.46,6796811.00,271.99,276.68,271.28
10/4/19,272.79,9992774.00,268.20,275.48,266.47
10/3/19,268.15,9068810.00,267.78,268.84,257.01
10/2/19,268.03,7773299.00,263.61,269.35,262.19
10/1/19,269.58,8786284.00,267.35,272.20,264.03
9/30/19,267.62,6823100.00,264.00,268.88,262.78
9/27/19,263.08,7367491.00,266.18,267.44,260.39
9/26/19,263.31,7696858.00,266.42,268.05,260.20
9/25/19,264.75,11846750.00,255.71,266.60,253.70
9/24/19,254.59,16392810.00,262.50,265.00,252.28
9/23/19,265.92,13610290.00,268.35,273.39,261.89
9/20/19,270.75,23954190.00,280.26,282.50,266.00
9/19/19,286.60,8545761.00,291.56,293.81,283.40
9/18/19,291.56,7841539.00,294.99,296.05,287.45
9/17/19,298.60,4817119.00,294.50,299.15,291.79
9/16/19,294.29,5307386.00,294.23,297.43,289.78
9/13/19,294.15,6583124.00,290.61,296.62,290.04
9/12/19,288.86,5010927.00,288.10,292.73,286.60
9/11/19,288.27,7405949.00,285.70,292.65,284.61
9/10/19,287.99,12320250.00,291.16,297.17,282.66
9/9/19,294.34,8232744.00,294.81,301.55,290.60
9/6/19,290.17,5166556.00,293.35,293.35,287.03
9/5/19,293.25,8972356.00,285.32,293.97,282.79
9/4/19,291.52,4653665.00,291.25,292.38,286.51
9/3/19,289.29,3684177.00,290.82,293.90,288.06
8/30/19,293.75,4447990.00,298.78,298.94,290.85
8/29/19,296.78,4392532.00,295.00,299.93,294.99
8/28/19,291.77,3958043.00,289.47,292.82,287.75
8/27/19,291.03,6314559.00,294.54,296.77,287.20
8/26/19,294.98,4696982.00,295.24,296.95,292.50
8/23/19,291.44,6331189.00,295.00,299.01,290.32
8/22/19,296.93,4977042.00,298.65,300.33,293.15
8/21/19,297.81,5689746.00,301.61,302.88,296.20
8/20/19,298.99,7352162.00,304.57,305.00,297.68
8/19/19,309.38,4951733.00,306.25,311.75,304.75
8/16/19,302.80,7090757.00,298.86,303.55,296.27
8/15/19,295.76,9683384.00,299.50,300.63,288.00
8/14/19,299.11,7355753.00,308.01,308.41,298.01
8/13/19,312.28,5338761.00,309.77,316.43,308.16
8/12/19,310.83,6531722.00,305.46,312.89,303.24
8/9/19,308.93,5349059.00,313.74,316.64,305.68
8/8/19,315.90,5905865.00,311.03,316.36,306.63
8/7/19,304.29,9322433.00,302.56,305.00,296.81
8/6/19,310.10,6179090.00,310.58,311.88,305.30
8/5/19,307.63,8692485.00,310.96,313.42,304.68
8/2/19,318.83,6280343.00,317.49,319.41,311.80
8/1/19,319.50,6563156.00,324.25,328.58,318.74
7/31/19,322.99,6259494.00,325.16,331.77,318.53
7/30/19,325.93,6029320.00,329.20,329.65,323.23
7/29/19,332.70,5782817.00,335.98,336.40,328.77
7/26/19,335.78,10847500.00,328.79,336.00,327.50
7/25/19,326.46,10798500.00,318.86,327.69,316.30
7/24/19,317.94,11961820.00,310.51,319.99,307.25
7/23/19,307.30,9171068.00,311.44,313.50,306.00
7/22/19,310.62,17725330.00,312.00,314.54,305.81
7/19/19,315.10,16302480.00,323.40,325.85,314.23
7/18/19,325.21,31305900.00,323.76,329.85,320.30
7/17/19,362.44,13639540.00,366.25,366.50,361.75
7/16/19,365.99,5863222.00,370.09,371.34,364.92
7/15/19,366.60,7944680.00,372.94,373.68,362.30
7/12/19,373.25,6636937.00,378.68,379.74,372.79
7/11/19,379.50,4336287.00,381.10,384.54,378.80
7/10/19,381.00,5878790.00,382.77,384.34,377.40
7/9/19,379.93,6932822.00,379.06,384.76,377.50
7/8/19,376.16,3113402.00,378.19,378.25,375.36
7/5/19,380.55,3732162.00,378.29,381.40,375.56
7/3/19,381.72,3799009.00,376.69,381.99,375.84
7/2/19,375.43,3628962.00,374.89,376.00,370.31
7/1/19,374.60,5001518.00,373.50,376.66,372.00
6/28/19,367.32,4592706.00,370.26,371.54,364.87
6/27/19,370.02,4138575.00,363.20,370.85,363.20
6/26/19,362.20,3669677.00,361.60,366.79,361.60
6/25/19,360.30,5750383.00,370.75,371.00,358.29
6/24/19,371.04,4830240.00,370.27,375.00,370.20
